volatile_acidity,density,free_sulfur_dioxide,fixed_acidity,pH,quality,alcohol,citric_acid,sulphates,total_sulfur_dioxide,residual_sugar,chlorides,wine_type
0.42,0.99848,57.0,6.9,3.08,5.0,9.4,0.2,0.54,201.0,15.4,0.043,White
0.53,0.99489,29.0,6.5,3.38,6.0,10.3,0.06,0.83,44.0,2.0,0.063,Red
0.27,0.9979,50.0,6.8,3.03,6.0,8.6,0.28,0.38,163.0,13.3,0.076,White
0.16,0.99494,24.0,6.7,3.34,6.0,11.2,0.64,0.71,52.0,2.1,0.059,Red
0.545,0.9965,27.0,7.9,3.36,6.0,10.7,0.06,0.67,61.0,4.0,0.087,Red
0.35,0.9934,22.0,6.1,3.23,5.0,9.2,0.07,0.52,108.0,1.4,0.069,White
0.51,0.99764,16.0,8.2,3.34,6.0,9.5,0.24,0.64,86.0,2.0,0.079,Red
0.2,0.98931,4.0,7.1,3.2,6.0,12.0,0.3,0.36,28.0,0.9,0.019,White
0.14,0.9916,27.0,7.6,3.07,7.0,10.8,0.74,0.4,103.0,1.6,0.04,White
0.3,0.99394,50.0,6.3,3.39,6.0,11.7,0.91,0.49,199.0,8.2,0.034,White
0.18,0.99678,47.0,6.5,3.28,7.0,10.3,0.41,0.72,129.0,14.2,0.039,White
0.48,0.9928,30.0,6.3,3.24,6.0,9.6,0.04,0.36,99.0,1.1,0.046,White
0.48,0.99728,31.0,7.3,3.3,7.0,10.0,0.32,0.65,54.0,2.1,0.062,Red
0.19,0.9938,15.0,7.4,3.2,7.0,11.0,0.49,0.38,110.0,6.7,0.037,White
0.43,0.9918,36.0,8.1,2.98,7.0,13.3,0.42,0.39,141.0,6.6,0.033,White
0.26,0.9902,33.0,6.9,3.16,6.0,12.5,0.29,0.31,114.0,4.2,0.043,White
0.18,0.99384,34.0,7.4,3.54,7.0,10.5,0.29,0.6,101.0,1.4,0.042,White
0.26,0.9928,22.0,7.4,3.13,6.0,11.5,0.43,0.55,125.0,6.0,0.022,White
0.28,0.99528,49.0,6.4,3.15,5.0,9.2,0.44,0.48,179.0,7.1,0.048,White
0.43,0.9974,22.0,7.8,3.13,5.0,9.4,0.7,1.28,67.0,1.9,0.464,Red
0.17,0.99422,23.0,7.6,3.08,6.0,9.5,0.27,0.47,98.0,4.6,0.05,White
0.21,0.99772,59.0,6.2,3.31,5.0,9.0,0.26,0.46,150.0,13.1,0.05,White
0.32,0.9932,15.0,6.8,3.17,6.0,9.4,0.21,0.39,68.0,2.2,0.044,White
0.24,0.99438,17.0,5.0,3.67,5.0,10.0,0.19,0.57,101.0,5.0,0.043,White
0.26,0.99066,22.0,7.8,2.99,7.0,12.1,0.31,0.47,100.0,3.6,0.025,White
0.41,0.997,35.0,7.2,3.44,5.0,9.4,0.3,0.52,72.0,2.1,0.083,Red
0.32,0.99666,29.0,5.9,3.24,6.0,10.3,0.2,0.41,144.0,14.4,0.05,White
0.26,0.9986,35.0,7.1,3.07,7.0,9.1,0.34,0.53,189.0,14.4,0.067,White
0.24,0.99262,20.0,6.7,3.34,6.0,12.6,0.32,0.35,109.0,9.0,0.023,White
0.32,0.991,23.0,5.8,3.42,7.0,11.8,0.38,0.42,94.0,4.75,0.033,White
0.16,0.99058,39.0,6.4,3.11,7.0,11.3,0.44,0.75,122.0,1.2,0.051,White
0.28,0.998,38.0,7.3,3.3,6.0,9.6,0.36,0.79,140.0,12.7,0.04,White
0.27,0.9924,54.0,6.0,3.28,6.0,11.0,0.31,0.52,170.0,5.0,0.043,White
0.22,0.99403,28.0,5.9,3.27,5.0,9.9,0.18,0.5,120.0,6.4,0.041,White
0.31,0.98906,28.0,5.8,3.25,7.0,13.7,0.32,0.52,94.0,4.5,0.024,White
0.24,0.9972,46.0,8.1,3.16,6.0,10.3,0.33,0.48,141.0,10.2,0.048,White
